"Municipio","Departamento","Lenguaje","Evaluados"
"BRICEÑO","BOYACÁ",45.47,32
"SAN LUIS","ANTIOQUIA",45.47,152
"DOLORES","TOLIMA",45.46,98
"PEQUE","ANTIOQUIA",45.46,85
"APARTADO","ANTIOQUIA",45.45,1196
"LEJANIAS","META",45.45,111
"YOTOCO","VALLE",45.45,132
"SAN RAFAEL","ANTIOQUIA",45.44,175
"BURITICA","ANTIOQUIA",45.43,63
"LENGUAZAQUE","CUNDINAMARCA",45.43,93
"BUGALAGRANDE","VALLE",45.42,259
"CUCUTILLA","NORTE SANTANDER",45.42,75
"GIRARDOT","CUNDINAMARCA",45.42,774
"SANTANDER DE QUILICHAO","CAUCA",45.42,1015
"CAICEDO","ANTIOQUIA",45.41,84
"CARMEN DE APICALA","TOLIMA",45.4,114
"SAN ANDRES","SANTANDER",45.4,146
"SAN PEDRO","VALLE",45.4,170
"TIERRALTA","CÓRDOBA",45.4,803
"ARMERO (GUAYABAL)","TOLIMA",45.39,129
"EL DORADO","META",45.39,56
"MACEO","ANTIOQUIA",45.39,103
"TIBU","NORTE SANTANDER",45.39,260
"TOTA","BOYACÁ",45.39,69
"COVARACHIA","BOYACÁ",45.38,52
"ACEVEDO","HUILA",45.37,151
"PLANETA RICA","CÓRDOBA",45.37,825
"TORO","VALLE",45.37,142
"CURILLO","CAQUETÁ",45.36,72
"EL COPEY","CESAR",45.36,250
"INZA","CAUCA",45.36,267
"MARIPI","BOYACÁ",45.35,84
"SOCOTA","BOYACÁ",45.34,59
"TURBACO","BOLÍVAR",45.34,655
"LA SIERRA","CAUCA",45.32,115
"BOLIVAR","VALLE",45.3,167
"SALAZAR","NORTE SANTANDER",45.3,101
"SAN ANTONIO","TOLIMA",45.3,160
"TOLEDO","NORTE SANTANDER",45.3,234
"EL ROSAL","CUNDINAMARCA",45.28,201
"COROZAL","SUCRE",45.26,770
"PANDI","CUNDINAMARCA",45.26,31
"SAN LUIS","TOLIMA",45.26,152
"SUCRE","CAUCA",45.26,42
"OBANDO","VALLE",45.25,116
"SUTATENZA","BOYACÁ",45.25,40
"TIPACOQUE","BOYACÁ",45.24,37
"ANZOATEGUI","TOLIMA",45.21,78
"LA LLANADA","NARIÑO",45.21,62
"CARURU","VAUPÉS",45.2,25
"ROSAS","CAUCA",45.2,128
"TRUJILLO","VALLE",45.2,191
"NATAGA","HUILA",45.19,98
"COLOMBIA","HUILA",45.17,47
"PUERTO LLERAS","META",45.17,88
"RIONEGRO","SANTANDER",45.17,247
"TANGUA","NARIÑO",45.17,103
"PULI","CUNDINAMARCA",45.16,25
"RECETOR","CASANARE",45.16,25
"EBEJICO","ANTIOQUIA",45.15,144
"SAN CARLOS","ANTIOQUIA",45.15,161
"CARTAGENA DEL CHAIRA","CAQUETÁ",45.13,220
"QUIPILE","CUNDINAMARCA",45.13,97
"SAN LORENZO","NARIÑO",45.13,170
"SATIVANORTE","BOYACÁ",45.12,42
"ANSERMANUEVO","VALLE",45.11,206
"LA MACARENA","META",45.1,99
"TAMARA","CASANARE",45.09,58
"ARBOLEDA (BERRUECOS)","NARIÑO",45.08,85
"SAN JOSE DEL GUAVIARE","GUAVIARE",45.08,732
"SANTA MARIA","HUILA",45.08,111
"TARAIRA","VAUPÉS",45.06,18
"VIJES","VALLE",45.06,108
"AGUAZUL","CASANARE",45.05,713
"PUERTO LOPEZ","META",45.05,338
"BALBOA","CAUCA",45.04,159
"EL DONCELLO","CAQUETÁ",45.04,287
"SAN ANDRES","ANTIOQUIA",45.04,49
"BUENAVISTA","SUCRE",45.03,130
"BOLIVAR","CAUCA",45.02,348
"GENOVA","QUINDÍO",45.02,103
"PORE","CASANARE",45.02,82
"ARBOLETES","ANTIOQUIA",45.01,342
"CURUMANI","CESAR",45,314
"PISVA","BOYACÁ",45,8
"SOPETRAN","ANTIOQUIA",45,193
"VILLA GUAMEZ (LA HORMIGA)","PUTUMAYO",45,485
"SAN ANDRES","SAN ANDRÉS",44.99,572
"SUPIA","CALDAS",44.99,463
"TEORAMA","NORTE SANTANDER",44.97,83
"GALERAS (NUEVA GRANADA)","SUCRE",44.96,350
"GUAPOTA","SANTANDER",44.96,28
"CERETE","CÓRDOBA",44.95,1058
"EL PEÑON","SANTANDER",44.93,45
"LA PALMA","CUNDINAMARCA",44.93,149
"SAN BENITO","SANTANDER",44.93,41
"FALAN","TOLIMA",44.92,98
"GUATICA","RISARALDA",44.92,182
"LABRANZAGRANDE","BOYACÁ",44.92,24
"MORALES","CAUCA",44.92,244
"PUEBLO NUEVO","CÓRDOBA",44.92,274
"SANTACRUZ (GUACHAVES)","NARIÑO",44.92,78
"BARAYA","HUILA",44.9,69
"CHITA","BOYACÁ",44.9,119
"CORRALES","BOYACÁ",44.9,30
"VALLE DE SAN JOSE","SANTANDER",44.9,80
"BUENAVISTA","QUINDÍO",44.89,56
"CIENAGA DE ORO","CÓRDOBA",44.89,612
"ESPINAL","TOLIMA",44.89,806
"SALGAR","ANTIOQUIA",44.89,103
"CASTILLA LA NUEVA","META",44.88,191
"EL ROSARIO","NARIÑO",44.88,42
"PAJARITO","BOYACÁ",44.88,24
"VENECIA","ANTIOQUIA",44.88,123
"BALBOA","RISARALDA",44.87,85
"ORITO","PUTUMAYO",44.86,471
"PURACE (COCONUCO)","CAUCA",44.85,103
"VITERBO","CALDAS",44.84,222
"ALBAN","CUNDINAMARCA",44.83,89
"FORTUL","ARAUCA",44.83,225
"MANI","CASANARE",44.83,133
"TUTASA","BOYACÁ",44.83,34
"EL ESPINO","BOYACÁ",44.81,43
"MORELIA","CAQUETÁ",44.81,36
"PAUNA","BOYACÁ",44.81,107
"HOBO","HUILA",44.8,54
"MANZANARES","CALDAS",44.79,232
"NIMAIMA","CUNDINAMARCA",44.79,37
"PUERTO COLOMBIA","ATLÁNTICO",44.79,367
"SAN MIGUEL DE SEMA","BOYACÁ",44.79,67
"YALI","ANTIOQUIA",44.79,85
"BARANOA","ATLÁNTICO",44.78,661
"PUERTO BOYACA","BOYACÁ",44.78,589
"RIO DE ORO","CESAR",44.78,115
"ARGELIA","ANTIOQUIA",44.77,106
"AIPE","HUILA",44.75,149
"IMUES","NARIÑO",44.75,97
"OLAYA","ANTIOQUIA",44.75,44
"SAN ROQUE","ANTIOQUIA",44.75,253
"EL PAUJIL","CAQUETÁ",44.74,140
"PIVIJAY","MAGDALENA",44.72,412
"TRINIDAD","CASANARE",44.71,145
"COPER","BOYACÁ",44.69,39
"CUBARA","BOYACÁ",44.69,79
"VERSALLES","VALLE",44.69,74
"LA VICTORIA","VALLE",44.67,179
"LETICIA","AMAZONAS",44.67,579
"SAN SEBASTIAN DE BUENAVISTA","MAGDALENA",44.67,246
"SILVANIA","CUNDINAMARCA",44.67,267
"SANTO DOMINGO","ANTIOQUIA",44.66,197
"COROMORO","SANTANDER",44.65,66
"GUATAVITA","CUNDINAMARCA",44.65,57
"SAN PABLO DE BORBUR","BOYACÁ",44.65,37
"GALAPA","ATLÁNTICO",44.64,391
"OTANCHE","BOYACÁ",44.61,93
"GUADALUPE","HUILA",44.6,161
"SANTO TOMAS","ATLÁNTICO",44.6,190
"BELALCAZAR","CALDAS",44.59,110
"ITUANGO","ANTIOQUIA",44.59,197
"JERUSALEN","CUNDINAMARCA",44.59,29
"PUERTO  LEGUIZAMO","PUTUMAYO",44.59,214
"SAN VICENTE DEL CAGUAN","CAQUETÁ",44.59,361
"CISNEROS","ANTIOQUIA",44.58,138
"SANTA MARTA","MAGDALENA",44.58,4537
"CHALAN","SUCRE",44.57,21
"PRADO","TOLIMA",44.57,122
"SAN FRANCISCO","PUTUMAYO",44.57,99
"YACOPI","CUNDINAMARCA",44.57,93
"RICAURTE","CUNDINAMARCA",44.56,97
"EL ROBLE","SUCRE",44.54,63
"LA MONTAÑITA","CAQUETÁ",44.54,101
"SANTA BARBARA","SANTANDER",44.54,24
"EL ZULIA","NORTE SANTANDER",44.53,217
"CACERES","ANTIOQUIA",44.52,188
"SAN MATEO","BOYACÁ",44.52,50
"MAGANGUE","BOLÍVAR",44.51,1165
"UBALA","CUNDINAMARCA",44.51,100
"SAN PEDRO DE CARTAGO","NARIÑO",44.5,54
"BOSCONIA","CESAR",44.49,446
"GUTIERREZ","CUNDINAMARCA",44.49,43
"PIEDRAS","TOLIMA",44.49,55
"PLANADAS","TOLIMA",44.49,189
"URUMITA","LA GUAJIRA",44.49,96
"SANTA HELENA DEL OPON","SANTANDER",44.47,21
"TARAZA","ANTIOQUIA",44.44,341
"ARATOCA","SANTANDER",44.43,167
"SAMANA","CALDAS",44.43,246
"SUESCA","CUNDINAMARCA",44.43,224
"GUICAN","BOYACÁ",44.42,53
"LA CELIA","RISARALDA",44.41,82
"ARMENIA","ANTIOQUIA",44.4,58
"JESUS MARIA","SANTANDER",44.4,50
"SOTARA (PAISPAMBA)","CAUCA",44.4,83
"CHIGORODO","ANTIOQUIA",44.39,817
"PUERTO RICO","CAQUETÁ",44.39,218
"CARTAGENA","BOLÍVAR",44.38,8949
"CORINTO","CAUCA",44.38,329
"GUACARI","VALLE",44.37,396
"YOLOMBO","ANTIOQUIA",44.37,245
"YAGUARA","HUILA",44.36,104
"RIOHACHA","LA GUAJIRA",44.35,1640
"PUERTO CARREÑO","VICHADA",44.33,225
"APIA","RISARALDA",44.32,333
"SIMITI","BOLÍVAR",44.32,134
"ASTREA","CESAR",44.3,211
"ARGELIA","VALLE",44.29,63
"COELLO","TOLIMA",44.29,95
"EL TAMBO","CAUCA",44.28,328
"RICAURTE","NARIÑO",44.28,116
"CABRERA","SANTANDER",44.26,42
"MACANAL","BOYACÁ",44.26,54
"SAN JERONIMO","ANTIOQUIA",44.26,215
"TURBANA","BOLÍVAR",44.26,153
"CUNDAY","TOLIMA",44.25,118
"OROCUE","CASANARE",44.25,104
"SUAREZ","TOLIMA",44.25,41
"EL PEÑOL","NARIÑO",44.24,111
"SAN CARLOS DE GUAROA","META",44.24,101
"CUASPUD (CARLOSAMA)","NARIÑO",44.23,60
"SABANALARGA","ANTIOQUIA",44.23,67
"RAGONVALIA","NORTE SANTANDER",44.22,45
"VIOTA","CUNDINAMARCA",44.22,219
"SAMPUES","SUCRE",44.21,517
"CAJIBIO","CAUCA",44.2,196
"CIMITARRA","SANTANDER",44.2,406
"SAN CALIXTO","NORTE SANTANDER",44.19,32
"ANGELOPOLIS","ANTIOQUIA",44.18,56
"GUAVATA","SANTANDER",44.18,46
"PUERTO PARRA","SANTANDER",44.17,61
"SAN DIEGO","CESAR",44.17,200
"LERIDA","TOLIMA",44.16,231
"RIO VIEJO","BOLÍVAR",44.16,91
"BRICEÑO","ANTIOQUIA",44.15,60
"PUERTO SANTANDER","NORTE SANTANDER",44.15,54
"HACARI","NORTE SANTANDER",44.13,24
"MARMATO","CALDAS",44.13,86
"SANTAFÉ DE ANTIOQUIA","ANTIOQUIA",44.12,392
"SAN JUANITO","META",44.11,18
"BARRANCA DE UPIA","META",44.1,70
"GUACAMAYAS","BOYACÁ",44.1,31
"MALAMBO","ATLÁNTICO",44.1,678
"MESETAS","META",44.1,78
"TOCAIMA","CUNDINAMARCA",44.1,148
"SAN JOAQUIN","SANTANDER",44.09,42
"SAN CAYETANO","NORTE SANTANDER",44.08,50
"TOTORO","CAUCA",44.08,144
"ORTEGA","TOLIMA",44.07,369
"PUERTO GAITAN","META",44.06,223
"PUERTO BERRIO","ANTIOQUIA",44.05,505
"VALENCIA","CÓRDOBA",44.04,432
"CHITARAQUE","BOYACÁ",44.03,40
"LA PINTADA","ANTIOQUIA",44.03,104
"SAN MARCOS","SUCRE",44.02,713
"GACHALA","CUNDINAMARCA",44,63
"MUTATA","ANTIOQUIA",44,157
"PARATEBUENO","CUNDINAMARCA",44,75
"USIACURI","ATLÁNTICO",44,67
"SANTANA","BOYACÁ",43.99,100
"LA GLORIA","CESAR",43.98,108
"NECHI","ANTIOQUIA",43.98,133
"POLICARPA","NARIÑO",43.98,98
"SAN PEDRO DE URABA","ANTIOQUIA",43.98,347
"ONZAGA","SANTANDER",43.97,83
"PIAMONTE","CAUCA",43.97,32
"TOLEDO","ANTIOQUIA",43.97,32
"ARBOLEDAS","NORTE SANTANDER",43.95,119
"AGUSTIN CODAZZI","CESAR",43.94,582
"LA CHORRERA","AMAZONAS",43.94,18
"LOS CORDOBAS","CÓRDOBA",43.94,174
"GUAMO","TOLIMA",43.92,427
"SITIONUEVO","MAGDALENA",43.92,113
"LA PEÑA","CUNDINAMARCA",43.91,75
"AYAPEL","CÓRDOBA",43.89,374
"SALAMINA","MAGDALENA",43.89,104
"SAN JOSE DE PARE","BOYACÁ",43.89,36
"RONCESVALLES","TOLIMA",43.88,64
"VALLE DE SAN JUAN","TOLIMA",43.88,79
"PAIME","CUNDINAMARCA",43.87,52
"HATONUEVO","LA GUAJIRA",43.86,161
"LA PRIMAVERA","VICHADA",43.82,84
"MARULANDA","CALDAS",43.82,28
"YONDO (CASABE)","ANTIOQUIA",43.81,117
"FONSECA","LA GUAJIRA",43.8,470
"SABANALARGA","ATLÁNTICO",43.79,840
"SANTIAGO","NORTE SANTANDER",43.79,29
"TUNUNGUA","BOYACÁ",43.79,19
"BELEN DE BAJIRA","CHOCÓ",43.77,22
"MITU","VAUPÉS",43.77,261
"PUERTO GUZMAN","PUTUMAYO",43.77,97
"PUERTO RONDON","ARAUCA",43.77,43
"BUENAVENTURA","VALLE",43.76,2649
"GUACA","SANTANDER",43.76,29
"SAN PABLO","BOLÍVAR",43.76,298
"VICTORIA","CALDAS",43.76,131
"ANGOSTURA","ANTIOQUIA",43.75,113
"PURIFICACION","TOLIMA",43.75,316
"QUIBDO","CHOCÓ",43.75,1550
"SAN JUAN NEPOMUCENO","BOLÍVAR",43.75,500
"FILADELFIA","CALDAS",43.74,133
"SAN JACINTO","BOLÍVAR",43.74,364
"MAICAO","LA GUAJIRA",43.73,1826
"LA JAGUA DE IBIRICO","CESAR",43.7,342
"CHIMA","CÓRDOBA",43.68,189
"EL BAGRE","ANTIOQUIA",43.68,502
"SAN MARTIN DE LOBA","BOLÍVAR",43.68,266
"TOLUVIEJO","SUCRE",43.68,275
"MOMPOS","BOLÍVAR",43.67,596
"PIJAO","QUINDÍO",43.67,172
"VILLANUEVA","LA GUAJIRA",43.67,230
"BELEN DE LOS ANDAQUIES","CAQUETÁ",43.66,126
"CABRERA","CUNDINAMARCA",43.64,83
"ITSMINA","CHOCÓ",43.64,500
"CHINU","CÓRDOBA",43.63,377
"SILVIA","CAUCA",43.63,358
"SOLITA","CAQUETÁ",43.63,75
"ALBANIA","CAQUETÁ",43.62,48
"JUAN DE ACOSTA","ATLÁNTICO",43.61,212
"REMEDIOS","ANTIOQUIA",43.6,235
"BUENAVISTA","CÓRDOBA",43.59,200
"CEPITA","SANTANDER",43.59,24
"MANAURE","LA GUAJIRA",43.59,123
"MUZO","BOYACÁ",43.59,107
"SALDAÑA","TOLIMA",43.59,176
"SAN FERNANDO","BOLÍVAR",43.58,123
"SAN MIGUEL","PUTUMAYO",43.58,249
"POLONUEVO","ATLÁNTICO",43.57,120
"ARJONA","BOLÍVAR",43.56,651
"COTORRA","CÓRDOBA",43.56,171
"CHIRIGUANA","CESAR",43.55,228
"PUERTO CONCORDIA","META",43.55,63
"MISTRATO","RISARALDA",43.54,110
"BECERRIL","CESAR",43.53,231
"CHAGUANI","CUNDINAMARCA",43.53,32
"PROVIDENCIA","SAN ANDRÉS",43.52,49
"SAN JOSE DEL FRAGUA","CAQUETÁ",43.52,194
"URAMITA","ANTIOQUIA",43.51,62
"CHIQUIZA","BOYACÁ",43.5,66
"RAFAEL REYES (APULO)","CUNDINAMARCA",43.5,102
"PAILITAS","CESAR",43.49,191
"CORDOBA","BOLÍVAR",43.47,164
"CONDOTO","CHOCÓ",43.46,241
"TORIBIO","CAUCA",43.46,243
"SAN ONOFRE","SUCRE",43.44,503
"PUERTO ESCONDIDO","CÓRDOBA",43.43,254
"MAPIRIPAN","META",43.42,38
"TURBO","ANTIOQUIA",43.41,1425
"HATO COROZAL","CASANARE",43.4,161
"BETULIA","SANTANDER",43.39,47
"CABUYARO","META",43.39,54
"MOÑITOS","CÓRDOBA",43.39,281
"PIJIÑO DEL CARMEN","MAGDALENA",43.39,118
"TARSO","ANTIOQUIA",43.38,89
"PUERTO CAICEDO","PUTUMAYO",43.37,160
"VILLAVIEJA","HUILA",43.37,76
"EL BANCO","MAGDALENA",43.35,605
"UTICA","CUNDINAMARCA",43.35,60
"LORICA","CÓRDOBA",43.34,1430
"SUAREZ","CAUCA",43.34,189
"PATIA(EL BORDO)","CAUCA",43.32,304
"PUERTO TEJADA","CAUCA",43.32,369
"SAN PELAYO","CÓRDOBA",43.32,558
"AMBALEMA","TOLIMA",43.31,59
"EL PASO","CESAR",43.3,391
"MARGARITA","BOLÍVAR",43.29,146
"VENECIA (OSPINA PEREZ)","CUNDINAMARCA",43.28,64
"MILAN","CAQUETÁ",43.27,62
"PESCA","BOYACÁ",43.27,77
"EL RETORNO","GUAVIARE",43.26,130
"EL TARRA","NORTE SANTANDER",43.26,62
"MOMIL","CÓRDOBA",43.26,259
"PALMITO","SUCRE",43.26,122
"CAMPAMENTO","ANTIOQUIA",43.25,36
"LOS PALMITOS","SUCRE",43.25,276
"FUNDACION","MAGDALENA",43.24,755
"CACOTA","NORTE SANTANDER",43.22,31
"CHIMICHAGUA","CESAR",43.22,452
"SAN ZENON","MAGDALENA",43.22,112
"ARIGUANI (EL DIFICIL)","MAGDALENA",43.19,342
"ENCINO","SANTANDER",43.19,32
"DURANIA","NORTE SANTANDER",43.18,50
"TELLO","HUILA",43.18,163
"CANALETE","CÓRDOBA",43.17,200
"CICUCO","BOLÍVAR",43.17,107
"SAN ANTERO","CÓRDOBA",43.16,316
"URIBIA","LA GUAJIRA",43.16,283
"VEGACHI","ANTIOQUIA",43.13,157
"SAN JUAN DE URABA","ANTIOQUIA",43.12,228
"COLOSO (RICAURTE)","SUCRE",43.11,100
"CALDONO","CAUCA",43.09,273
"PELAYA","CESAR",43.09,213
"TUBARA","ATLÁNTICO",43.09,86
"ALMAGUER","CAUCA",43.08,157
"GAMBITA","SANTANDER",43.08,24
"PURISIMA","CÓRDOBA",43.08,232
"ANORI","ANTIOQUIA",43.07,107
"ACANDI","CHOCÓ",43.04,57
"SANTA ANA","MAGDALENA",43.04,319
"CHIVOLO","MAGDALENA",43.02,191
"DIBULLA","LA GUAJIRA",43.02,177
"SAN CARLOS","CÓRDOBA",43.01,220
"BELTRAN","CUNDINAMARCA",43,46
"PROVIDENCIA","NARIÑO",43,58
"SATIVASUR","BOYACÁ",43,19
"GUARANDA","SUCRE",42.99,110
"ALMEIDA","BOYACÁ",42.96,26
"SANTA CATALINA","BOLÍVAR",42.96,139
"OVEJAS","SUCRE",42.95,337
"CUMARIBO","VICHADA",42.93,106
"PUERTO WILCHES","SANTANDER",42.93,327
"SANTA ROSA","CAUCA",42.93,52
"EL PEÑON","CUNDINAMARCA",42.91,43
"CUMBITARA","NARIÑO",42.9,98
"PINILLOS","BOLÍVAR",42.88,248
"GUAMAL","MAGDALENA",42.87,403
"SAN BENITO ABAD","SUCRE",42.87,317
"ARENAL","BOLÍVAR",42.86,96
"SAN CAYETANO","CUNDINAMARCA",42.86,78
"EL CARMEN DE BOLIVAR","BOLÍVAR",42.84,799
"GAMARRA","CESAR",42.83,127
"GUACHENÉ","CAUCA",42.82,11
"OLAYA HERRERA","NARIÑO",42.82,100
"BARRANCAS","LA GUAJIRA",42.8,321
"SUAN","ATLÁNTICO",42.8,99
"ALTOS DEL ROSARIO","BOLÍVAR",42.79,74
"SUCRE","SUCRE",42.79,193
"LEIVA","NARIÑO",42.75,88
"ZARAGOZA","ANTIOQUIA",42.73,238
"SANTA ROSALIA","VICHADA",42.71,24
"VILLANUEVA","BOLÍVAR",42.69,242
"PAYA","BOYACÁ",42.68,22
"NATAGAIMA","TOLIMA",42.67,195
"JAMBALO","CAUCA",42.66,165
"SAN JUAN DE BETULIA","SUCRE",42.65,192
"BARBACOAS","NARIÑO",42.64,231
"CALOTO","CAUCA",42.63,514
"ALGARROBO","MAGDALENA",42.62,138
"TALAIGUA NUEVO","BOLÍVAR",42.56,222
"SAN CRISTOBAL","BOLÍVAR",42.55,73
"FLORENCIA","CAUCA",42.54,78
"NECOCLI","ANTIOQUIA",42.54,569
"SOLANO","CAQUETÁ",42.5,42
"NUEVA GRANADA","MAGDALENA",42.49,89
"JERICO","BOYACÁ",42.48,44
"PADILLA","CAUCA",42.48,96
"CERTEGUI","CHOCÓ",42.47,47
"PLATO","MAGDALENA",42.46,603
"CIENAGA","MAGDALENA",42.45,1073
"COVEÑAS","SUCRE",42.45,275
"SEGOVIA","ANTIOQUIA",42.41,301
"TUMACO","NARIÑO",42.41,2056
"PAEZ (BELALCAZAR)","CAUCA",42.4,332
"VILLA RICA","CAUCA",42.37,178
"ZAMBRANO","BOLÍVAR",42.35,159
"MEDIO ATRATO","CHOCÓ",42.33,3
"MURINDO","ANTIOQUIA",42.33,9
"ZONA BANANERA","MAGDALENA",42.31,663
"MAGUI (PAYAN)","NARIÑO",42.3,56
"SABANAS DE SAN ANGEL","MAGDALENA",42.3,91
"CAIMITO","SUCRE",42.29,123
"SAN ANDRES SOTAVENTO","CÓRDOBA",42.28,752
"MORALES","BOLÍVAR",42.24,210
"TENERIFE","MAGDALENA",42.23,124
"BARRANCO DE LOBA","BOLÍVAR",42.22,155
"SAN SEBASTIAN","CAUCA",42.19,105
"UNGUIA","CHOCÓ",42.17,76
"PUERTO NARIÑO","AMAZONAS",42.16,76
"EL PEÑON","BOLÍVAR",42.15,85
"ALBANIA","LA GUAJIRA",42.13,166
"DISTRACCION","LA GUAJIRA",42.13,91
"TAMALAMEQUE","CESAR",42.11,189
"FLANDES","TOLIMA",42.1,242
"HATILLO DE LOBA","BOLÍVAR",42.08,158
"FRANCISCO PIZARRO","NARIÑO",42.06,85
"MAHATES","BOLÍVAR",42.04,359
"LA JAGUA DEL PILAR","LA GUAJIRA",42,19
"TOPAIPI","CUNDINAMARCA",42,66
"SANTA ROSA","BOLÍVAR",41.96,207
"MAJAGUAL","SUCRE",41.94,464
"BAHIA SOLANO (MUTIS)","CHOCÓ",41.92,104
"TIQUISIO (PUERTO RICO)","BOLÍVAR",41.87,170
"ARACATACA","MAGDALENA",41.85,466
"CANDELARIA","ATLÁNTICO",41.82,104
"MARIA LA BAJA","BOLÍVAR",41.82,554
"EL CHARCO","NARIÑO",41.81,159
"LURUACO","ATLÁNTICO",41.8,280
"EL RETEN","MAGDALENA",41.79,245
"GALAN","SANTANDER",41.79,56
"SAN JACINTO DEL CAUCA","BOLÍVAR",41.75,95
"EL PIÑON","MAGDALENA",41.73,212
"GUATAQUI","CUNDINAMARCA",41.73,44
"SIPI","CHOCÓ",41.73,15
"ACHI","BOLÍVAR",41.72,339
"PONEDERA","ATLÁNTICO",41.71,198
"EL MOLINO","LA GUAJIRA",41.67,42
"COYAIMA","TOLIMA",41.65,305
"LLORO","CHOCÓ",41.61,46
"UNION PANAMERICANA","CHOCÓ",41.6,15
"BUENOS AIRES","CAUCA",41.57,224
"MEDIO SAN JUAN","CHOCÓ",41.55,31
"GUAPI","CAUCA",41.49,311
"CAMPO DE LA CRUZ","ATLÁNTICO",41.35,249
"TARAPACA","AMAZONAS",41.35,20
"SAN ESTANISLAO","BOLÍVAR",41.34,187
"SOPLAVIENTO","BOLÍVAR",41.31,91
"CERRO SAN ANTONIO","MAGDALENA",41.3,60
"SANTA BARBARA (ISCUANDE)","NARIÑO",41.29,24
"MAPIRIPANA","GUAINÍA",41.21,19
"ROBERTO PAYAN (SAN JOSE)","NARIÑO",41.2,56
"CANTAGALLO","BOLÍVAR",41.17,85
"PIOJO","ATLÁNTICO",41.15,59
"SANTA BARBARA DE PINTO","MAGDALENA",41.14,35
"TADO","CHOCÓ",41.14,280
"CANTON DEL SAN PABLO","CHOCÓ",41.12,51
"MANATI","ATLÁNTICO",41.12,195
"CONCORDIA","MAGDALENA",41.06,151
"PUEBLO RICO","RISARALDA",41.04,141
"BAGADO","CHOCÓ",41.02,75
"CALAMAR","BOLÍVAR",41.01,237
"RIO IRO","CHOCÓ",41,42
"EL LITORAL DEL SAN JUAN","CHOCÓ",40.96,23
"SANTA LUCIA","ATLÁNTICO",40.93,129
"CLEMENCIA","BOLÍVAR",40.88,26
"NOVITA","CHOCÓ",40.88,42
"EL GUAMO","BOLÍVAR",40.87,69
"REMOLINO","MAGDALENA",40.81,95
"REGIDOR","BOLÍVAR",40.72,46
"REPELON","ATLÁNTICO",40.67,231
"MONTECRISTO","BOLÍVAR",40.6,43
"NUQUI","CHOCÓ",40.5,40
"YAVARATE","VAUPÉS",40.5,4
"PUEBLOVIEJO","MAGDALENA",40.49,251
"ZAPAYAN","MAGDALENA",40.47,76
"PEDRAZA","MAGDALENA",40.43,111
"VIGIA DEL FUERTE","ANTIOQUIA",40.39,65
"LOPEZ (MICAY)","CAUCA",40.14,111
"CARMEN DEL DARIEN","CHOCÓ",40.1,29
"MEDIO BAUDO","CHOCÓ",40.09,22
"TIMBIQUI","CAUCA",39.98,162
"PTO SANTANDER","AMAZONAS",39.82,11
"MOSQUERA","NARIÑO",39.72,58
"RIO QUITO","CHOCÓ",39.64,77
"LA TOLA","NARIÑO",39.59,56
"BAJO BAUDO   (PIZARRO)","CHOCÓ",39.55,44
"LA PEDRERA","AMAZONAS",39.5,30
"RIOSUCIO","CHOCÓ",39.44,122
"ARROYOHONDO","BOLÍVAR",39.43,70
"ATRATO (YUTO)","CHOCÓ",39.4,70
"JURADO","CHOCÓ",39.22,18
"ALTO BAUDO (PIE DE PATO)","CHOCÓ",38.8,35
"JORDAN","SANTANDER",38.71,7
"BOJAYA (BELLAVISTA)","CHOCÓ",37.8,5
