"Municipio","Departamento","Matemática","Evaluados"
"LA UNION","NARIÑO",58.54,247
"COLON (GENOVA)","NARIÑO",55.72,85
"SAN JOSE DE MIRANDA","SANTANDER",53.83,23
"LA CRUZ","NARIÑO",53.15,246
"IZA","BOYACÁ",52.25,12
"ENCISO","SANTANDER",52.02,53
"SURATA","SANTANDER",51.22,36
"CALDAS","BOYACÁ",50.61,67
"PAZ DE RIO","BOYACÁ",50.47,53
"ARCABUCO","BOYACÁ",50.33,64
"CONCEPCION","SANTANDER",50.08,37
"BUCARAMANGA","SANTANDER",49.86,4838
"MALAGA","SANTANDER",49.72,381
"DUITAMA","BOYACÁ",49.57,1556
"SANDONA","NARIÑO",49.56,263
"ENTRERRIOS","ANTIOQUIA",49.41,76
"PAICOL","HUILA",49.27,44
"TIBANA","BOYACÁ",49.12,60
"CHARALA","SANTANDER",49.08,181
"CERINZA","BOYACÁ",48.97,59
"PAIPA","BOYACÁ",48.84,364
"PUERRES","NARIÑO",48.79,91
"TUNJA","BOYACÁ",48.77,1713
"SOGAMOSO","BOYACÁ",48.69,1216
"TUQUERRES","NARIÑO",48.53,393
"SAN GIL","SANTANDER",48.5,649
"PISVA","BOYACÁ",48.38,8
"OCAÑA","NORTE SANTANDER",48.34,1009
"BARICHARA","SANTANDER",48.28,95
"TURMEQUE","BOYACÁ",48.28,140
"SOATA","BOYACÁ",48.26,143
"AGUADA","SANTANDER",48.25,20
"SAN EDUARDO","BOYACÁ",48.25,20
"TAMINANGO","NARIÑO",48.21,301
"LA CEJA","ANTIOQUIA",48.19,495
"BUENAVISTA","BOYACÁ",48.15,61
"CAMPOHERMOSO","BOYACÁ",48.14,29
"VILLA DE LEYVA","BOYACÁ",48.07,138
"GARAGOA","BOYACÁ",48.01,233
"EL GUACAMAYO","SANTANDER",47.96,23
"LEBRIJA","SANTANDER",47.96,323
"SUTAMARCHAN","BOYACÁ",47.92,59
"IPIALES","NARIÑO",47.85,1150
"EL TAMBO","NARIÑO",47.75,152
"CONTRATACION","SANTANDER",47.72,90
"BELEN","NARIÑO",47.51,104
"CHIA","CUNDINAMARCA",47.48,866
"TUTASA","BOYACÁ",47.47,34
"FLORIDABLANCA","SANTANDER",47.44,1966
"GUAPOTA","SANTANDER",47.43,28
"GUAYATA","BOYACÁ",47.41,37
"FIRAVITOBA","BOYACÁ",47.4,71
"VILLANUEVA","SANTANDER",47.33,110
"SANTA MARIA","BOYACÁ",47.31,32
"VELEZ","SANTANDER",47.23,257
"COLOMBIA","HUILA",47.13,47
"CHINACOTA","NORTE SANTANDER",47.1,187
"PALERMO","HUILA",47.09,231
"VETAS","SANTANDER",47.06,18
"TINJACA","BOYACÁ",46.91,34
"PUPIALES","NARIÑO",46.88,223
"BERBEO","BOYACÁ",46.85,20
"SOCORRO","SANTANDER",46.85,378
"SIMIJACA","CUNDINAMARCA",46.83,143
"CONSACA","NARIÑO",46.82,126
"MUTISCUA","NORTE SANTANDER",46.74,34
"LA SALINA","CASANARE",46.73,11
"MIRAFLORES","BOYACÁ",46.7,103
"SAN BERNARDO","NARIÑO",46.7,109
"TIBASOSA","BOYACÁ",46.69,191
"CARMEN DE VIBORAL","ANTIOQUIA",46.68,527
"CAROLINA","ANTIOQUIA",46.67,30
"PUENTE NACIONAL","SANTANDER",46.67,344
"ENVIGADO","ANTIOQUIA",46.64,1425
"ANCUYA","NARIÑO",46.62,101
"GUADALUPE","SANTANDER",46.58,122
"TASCO","BOYACÁ",46.57,51
"PEÑOL","ANTIOQUIA",46.56,203
"SAN ALBERTO","CESAR",46.52,174
"OPORAPA","HUILA",46.48,91
"TERUEL","HUILA",46.48,46
"CARCASI","SANTANDER",46.46,30
"SANTA ROSA DE VITERBO","BOYACÁ",46.43,145
"GUARNE","ANTIOQUIA",46.39,393
"PALMAS DEL SOCORRO","SANTANDER",46.39,26
"TOCANCIPA","CUNDINAMARCA",46.39,431
"CHIQUINQUIRA","BOYACÁ",46.35,895
"SANTA SOFIA","BOYACÁ",46.35,34
"GUACHUCAL","NARIÑO",46.33,197
"SABANETA","ANTIOQUIA",46.33,514
"COPACABANA","ANTIOQUIA",46.31,787
"ARBELAEZ","CUNDINAMARCA",46.3,144
"PACHAVITA","BOYACÁ",46.3,10
"PASTO","NARIÑO",46.29,3718
"BOLIVAR","SANTANDER",46.21,88
"PAMPLONA","NORTE SANTANDER",46.21,535
"ZIPAQUIRA","CUNDINAMARCA",46.21,1159
"CUCUTILLA","NORTE SANTANDER",46.16,75
"BELEN","BOYACÁ",46.15,106
"SOPO","CUNDINAMARCA",46.14,296
"SAN JOSE DE LA MONTAÑA","ANTIOQUIA",46.12,33
"SAN ANTONIO DE TEQUENDAMA","CUNDINAMARCA",46.1,138
"VENTAQUEMADA","BOYACÁ",46.1,231
"CAJICA","CUNDINAMARCA",46.09,546
"MOGOTES","SANTANDER",46.09,106
"MONGUI","BOYACÁ",46.09,92
"OICATA","BOYACÁ",46.08,25
"LA UVITA","BOYACÁ",46.07,46
"SARDINATA","NORTE SANTANDER",46.06,146
"MARINILLA","ANTIOQUIA",46.05,548
"PAMPLONITA","NORTE SANTANDER",46.05,42
"RESTREPO","META",46.04,241
"BETEITIVA","BOYACÁ",46.03,30
"OIBA","SANTANDER",46.02,197
"LA MESA","CUNDINAMARCA",46.01,255
"CAQUEZA","CUNDINAMARCA",46,184
"GIRON","SANTANDER",45.96,1257
"VILLAVICENCIO","META",45.92,4311
"SANTA ISABEL","TOLIMA",45.9,57
"ALTAMIRA","HUILA",45.89,45
"BRICEÑO","BOYACÁ",45.88,32
"SARAVENA","ARAUCA",45.87,557
"FLORESTA","BOYACÁ",45.85,55
"MACARAVITA","SANTANDER",45.85,40
"PITALITO","HUILA",45.85,1452
"ALDANA","NARIÑO",45.84,92
"GUAITARILLA","NARIÑO",45.84,138
"HISPANIA","ANTIOQUIA",45.84,25
"SAMACA","BOYACÁ",45.83,216
"SANTA ROSA DE CABAL","RISARALDA",45.83,660
"PAEZ","BOYACÁ",45.81,32
"PALMIRA","VALLE",45.81,2683
"TUTA","BOYACÁ",45.8,137
"POPAYAN","CAUCA",45.78,2730
"CIRCASIA","QUINDÍO",45.77,354
"CACHIRA","NORTE SANTANDER",45.76,107
"SIBUNDOY","PUTUMAYO",45.75,314
"NARIÑO","NARIÑO",45.74,39
"MEDINA","CUNDINAMARCA",45.67,58
"PIEDECUESTA","SANTANDER",45.67,1558
"BOAVITA","BOYACÁ",45.66,127
"CHACHAGUI","NARIÑO",45.62,118
"MANIZALES","CALDAS",45.62,3770
"GIGANTE","HUILA",45.61,321
"CAPITANEJO","SANTANDER",45.55,53
"CUCUTA","NORTE SANTANDER",45.54,5944
"SAPUYES","NARIÑO",45.54,70
"MERCADERES","CAUCA",45.52,131
"NOBSA","BOYACÁ",45.52,188
"SAN FRANCISCO","ANTIOQUIA",45.52,27
"AQUITANIA","BOYACÁ",45.51,147
"ENCINO","SANTANDER",45.47,32
"DON MATIAS","ANTIOQUIA",45.45,104
"HERRAN","NORTE SANTANDER",45.42,24
"SORACA","BOYACÁ",45.42,73
"BOGOTÁ D.C.","BOGOTÁ",45.41,51372
"SAMANIEGO","NARIÑO",45.41,341
"GUEPSA","SANTANDER",45.4,50
"LOS PATIOS","NORTE SANTANDER",45.37,510
"EL CALVARIO","META",45.36,25
"CIENEGA","BOYACÁ",45.35,54
"CHIPAQUE","CUNDINAMARCA",45.34,74
"ISNOS","HUILA",45.34,218
"LOURDES","NORTE SANTANDER",45.33,33
"MOSQUERA","CUNDINAMARCA",45.32,892
"POTOSI","NARIÑO",45.31,132
"BOJACÁ","CUNDINAMARCA",45.27,93
"TOPAGA","BOYACÁ",45.27,45
"JARDIN","ANTIOQUIA",45.24,124
"SACHICA","BOYACÁ",45.24,37
"GINEBRA","VALLE",45.23,217
"NEMOCON","CUNDINAMARCA",45.22,129
"GOMEZ PLATA","ANTIOQUIA",45.21,97
"CHOCONTA","CUNDINAMARCA",45.2,270
"EL TABLON","NARIÑO",45.18,205
"RAMIRIQUI","BOYACÁ",45.18,140
"RAQUIRA","BOYACÁ",45.18,65
"OCAMONTE","SANTANDER",45.17,71
"UNE","CUNDINAMARCA",45.17,76
"TENZA","BOYACÁ",45.16,49
"GAMA","CUNDINAMARCA",45.14,22
"GRAMALOTE","NORTE SANTANDER",45.14,69
"INIRIDA","GUAINÍA",45.14,194
"CUITIVA","BOYACÁ",45.12,25
"JESUS MARIA","SANTANDER",45.12,50
"PANQUEBA","BOYACÁ",45.12,43
"SABANALARGA","CASANARE",45.12,57
"NOCAIMA","CUNDINAMARCA",45.09,83
"CHOACHI","CUNDINAMARCA",45.08,166
"PAZ DE ARIPORO","CASANARE",45.07,469
"GUALMATAN","NARIÑO",45.06,69
"NUEVO COLON","BOYACÁ",45.06,95
"PINCHOTE","SANTANDER",45.06,77
"SAN LUIS DE PALENQUE","CASANARE",45.06,88
"GRANADA","CUNDINAMARCA",45.05,86
"LA CAPILLA","BOYACÁ",45.05,21
"FACATATIVA","CUNDINAMARCA",45.03,1220
"NEIVA","HUILA",45.03,3155
"GAMEZA","BOYACÁ",45.02,55
"SAN MATEO","BOYACÁ",45.02,50
"SUSACON","BOYACÁ",45.02,36
"NUNCHIA","CASANARE",45,87
"SAN VICENTE","ANTIOQUIA",45,215
"VILLANUEVA","CASANARE",45,404
"OSPINA","NARIÑO",44.99,85
"SAN BERNARDO","CUNDINAMARCA",44.99,136
"DOS QUEBRADAS","RISARALDA",44.98,1551
"BARBOSA","SANTANDER",44.97,307
"BOCHALEMA","NORTE SANTANDER",44.96,109
"PIVIJAY","MAGDALENA",44.96,412
"LA ESTRELLA","ANTIOQUIA",44.95,471
"GIRARDOTA","ANTIOQUIA",44.93,435
"SAN LUIS DE GACENO","BOYACÁ",44.93,59
"VILLAHERMOSA","TOLIMA",44.92,73
"LA URIBE","META",44.9,43
"LA LLANADA","NARIÑO",44.88,62
"PAJARITO","BOYACÁ",44.88,24
"GUATAPE","ANTIOQUIA",44.86,114
"LA PAZ","SANTANDER",44.85,49
"SANTUARIO","ANTIOQUIA",44.85,277
"UBATE","CUNDINAMARCA",44.85,569
"COLON","PUTUMAYO",44.83,59
"NEIRA","CALDAS",44.83,210
"SUAITA","SANTANDER",44.83,149
"MADRID","CUNDINAMARCA",44.82,630
"SOLEDAD","ATLÁNTICO",44.82,3059
"ITAGUI","ANTIOQUIA",44.79,2686
"FOMEQUE","CUNDINAMARCA",44.78,173
"CORRALES","BOYACÁ",44.77,30
"GONZALEZ","CESAR",44.77,31
"HONDA","TOLIMA",44.77,283
"LA ARGENTINA","HUILA",44.76,127
"NILO","CUNDINAMARCA",44.76,84
"VILLAPINZON","CUNDINAMARCA",44.75,272
"LA PLATA","HUILA",44.73,578
"SANTA HELENA DEL OPON","SANTANDER",44.71,21
"VILLAGARZON","PUTUMAYO",44.71,329
"GUATEQUE","BOYACÁ",44.7,172
"SIMACOTA","SANTANDER",44.69,89
"CHITAGA","NORTE SANTANDER",44.67,69
"EL ESPINO","BOYACÁ",44.67,43
"RETIRO","ANTIOQUIA",44.67,156
"VILLETA","CUNDINAMARCA",44.66,303
"SESQUILE","CUNDINAMARCA",44.65,156
"TESALIA","HUILA",44.64,110
"VENADILLO","TOLIMA",44.63,101
"ACACIAS","META",44.62,1003
"EL CARMEN","CHOCÓ",44.62,87
"SANTIAGO","NORTE SANTANDER",44.62,29
"ABEJORRAL","ANTIOQUIA",44.61,178
"CONVENCION","NORTE SANTANDER",44.58,154
"CHINCHINA","CALDAS",44.57,490
"GACHETA","CUNDINAMARCA",44.57,145
"SUCRE","SANTANDER",44.57,97
"ALGECIRAS","HUILA",44.55,216
"COMBITA","BOYACÁ",44.55,115
"MOLAGAVITA","SANTANDER",44.55,40
"GAMBITA","SANTANDER",44.54,24
"LA CALERA","CUNDINAMARCA",44.54,199
"MORROA","SUCRE",44.54,112
"RONDON","BOYACÁ",44.54,37
"PALOCABILDO","TOLIMA",44.52,65
"CERRITO","SANTANDER",44.51,63
"SAN PABLO","NARIÑO",44.5,169
"BUESACO","NARIÑO",44.49,142
"GUASCA","CUNDINAMARCA",44.49,221
"CAJAMARCA","TOLIMA",44.48,149
"COGUA","CUNDINAMARCA",44.47,193
"SORA","BOYACÁ",44.46,50
"ARMENIA","QUINDÍO",44.44,3423
"LENGUAZAQUE","CUNDINAMARCA",44.44,93
"MEDELLIN","ANTIOQUIA",44.44,18472
"SANTUARIO","RISARALDA",44.44,119
"FUQUENE","CUNDINAMARCA",44.43,65
"JORDAN","SANTANDER",44.43,7
"SAN ANDRES","SANTANDER",44.42,146
"MACHETA","CUNDINAMARCA",44.41,101
"MARIQUITA","TOLIMA",44.41,340
"PAYA","BOYACÁ",44.41,22
"ELIAS","HUILA",44.4,42
"SINCELEJO","SUCRE",44.4,2914
"LABATECA","NORTE SANTANDER",44.39,72
"YACUANQUER","NARIÑO",44.39,151
"CHAPARRAL","TOLIMA",44.37,365
"FUSAGASUGA","CUNDINAMARCA",44.37,1260
"AGUA DE DIOS","CUNDINAMARCA",44.36,143
"GRANADA","ANTIOQUIA",44.35,96
"IBAGUE","TOLIMA",44.35,5666
"TAUSA","CUNDINAMARCA",44.35,82
"VALLE DE SAN JOSE","SANTANDER",44.35,80
"GARZON","HUILA",44.33,609
"TURBACO","BOLÍVAR",44.33,655
"YOPAL","CASANARE",44.32,2273
"BITUIMA","CUNDINAMARCA",44.29,21
"CALIMA (DARIEN)","VALLE",44.29,191
"CORDOBA","NARIÑO",44.29,202
"MIRANDA","CAUCA",44.27,312
"MONIQUIRA","BOYACÁ",44.27,205
"ANOLAIMA","CUNDINAMARCA",44.26,243
"IMUES","NARIÑO",44.26,97
"LINARES","NARIÑO",44.26,105
"LOS ANDES (SOTOMAYOR)","NARIÑO",44.26,125
"PASCA","CUNDINAMARCA",44.26,199
"PUERTO TRIUNFO","ANTIOQUIA",44.25,103
"SAN MIGUEL DE SEMA","BOYACÁ",44.25,67
"SUSA","CUNDINAMARCA",44.25,81
"PALMAR","SANTANDER",44.24,37
"SILOS","NORTE SANTANDER",44.24,29
"BUGA","VALLE",44.22,961
"FUNES","NARIÑO",44.22,64
"CRAVO NORTE","ARAUCA",44.21,28
"SAN PEDRO","ANTIOQUIA",44.21,331
"SABANA DE TORRES","SANTANDER",44.2,294
"SAN JOSE DE PARE","BOYACÁ",44.19,36
"GRANADA","META",44.18,792
"SANTA ROSA DE OSOS","ANTIOQUIA",44.18,338
"SANTA ROSA DEL SUR","BOLÍVAR",44.18,328
"JENESANO","BOYACÁ",44.16,67
"AIPE","HUILA",44.14,149
"CHINAVITA","BOYACÁ",44.14,42
"EL COCUY","BOYACÁ",44.14,74
"SAN MARTIN","META",44.14,278
"PEREIRA","RISARALDA",44.11,5116
"PIEDRAS","TOLIMA",44.11,55
"SOCOTA","BOYACÁ",44.07,59
"CHIMA","SANTANDER",44.06,33
"SUTATENZA","BOYACÁ",44.05,40
"LA FLORIDA","NARIÑO",44.04,129
"AGRADO","HUILA",44.01,72
"FLORENCIA","CAQUETÁ",44.01,1603
"MOCOA","PUTUMAYO",44.01,848
"ARAUQUITA","ARAUCA",44,372
"RIVERA","HUILA",44,202
"ULLOA","VALLE",44,78
"RIONEGRO","ANTIOQUIA",43.98,1743
"GUAMAL","META",43.97,153
"TIBU","NORTE SANTANDER",43.97,260
"COCORNA","ANTIOQUIA",43.95,104
"MONGUA","BOYACÁ",43.95,54
"IQUIRA","HUILA",43.94,116
"SOCHA","BOYACÁ",43.94,134
"BARRANQUILLA","ATLÁNTICO",43.91,12074
"SAN FRANCISCO","PUTUMAYO",43.91,99
"CUMBAL","NARIÑO",43.9,375
"EL COLEGIO","CUNDINAMARCA",43.9,346
"CALI","VALLE",43.89,11398
"SANTA BARBARA","ANTIOQUIA",43.89,254
"CARTAGO","VALLE",43.88,1324
"COVARACHIA","BOYACÁ",43.88,52
"CALAMAR","GUAVIARE",43.87,54
"ANDES","ANTIOQUIA",43.86,466
"BOLIVAR","ANTIOQUIA",43.86,195
"BUENAVISTA","SUCRE",43.86,130
"BARBOSA","ANTIOQUIA",43.85,345
"BARRANCABERMEJA","SANTANDER",43.85,1952
"PUERTO ASIS","PUTUMAYO",43.85,537
"ALBAN (SAN JOSE)","NARIÑO",43.83,161
"LA CUMBRE","VALLE",43.83,130
"DURANIA","NORTE SANTANDER",43.82,50
"SAN PEDRO","SUCRE",43.82,218
"SINCE","SUCRE",43.82,291
"MANAURE BALCON DEL CESAR","CESAR",43.81,152
"SAN MARTIN","CESAR",43.81,174
"VILLAGOMEZ","CUNDINAMARCA",43.81,27
"ALPUJARRA","TOLIMA",43.8,60
"SALAMINA","CALDAS",43.8,191
"SOTAQUIRA","BOYACÁ",43.79,98
"SUBACHOQUE","CUNDINAMARCA",43.79,155
"CALDAS","ANTIOQUIA",43.77,747
"CONCORDIA","ANTIOQUIA",43.77,120
"TAURAMENA","CASANARE",43.77,298
"VILLA DEL ROSARIO","NORTE SANTANDER",43.76,795
"SAN JUAN DE RIO SECO","CUNDINAMARCA",43.74,121
"MURILLO","TOLIMA",43.72,40
"QUETAME","CUNDINAMARCA",43.72,93
"RIO DE ORO","CESAR",43.71,115
"TAMARA","CASANARE",43.71,58
"VILLAMARIA","CALDAS",43.71,614
"CACHIPAY","CUNDINAMARCA",43.7,87
"ILES","NARIÑO",43.7,102
"PALMAR DE VARELA","ATLÁNTICO",43.7,356
"SIACHOQUE","BOYACÁ",43.7,146
"FILANDIA","QUINDÍO",43.69,191
"MELGAR","TOLIMA",43.66,395
"PUERTO RICO","META",43.66,90
"YAGUARA","HUILA",43.66,104
"ICONONZO","TOLIMA",43.65,144
"SIBATE","CUNDINAMARCA",43.65,339
"JUNIN","CUNDINAMARCA",43.64,102
"SAN MIGUEL","SANTANDER",43.64,33
"GACHANCIPA","CUNDINAMARCA",43.63,100
"SANTACRUZ (GUACHAVES)","NARIÑO",43.62,78
"VERGARA","CUNDINAMARCA",43.61,59
"SAN BERNARDO DEL VIENTO","CÓRDOBA",43.6,254
"CABRERA","SANTANDER",43.59,42
"SOACHA","CUNDINAMARCA",43.59,3353
"TIBIRITA","CUNDINAMARCA",43.59,37
"ABREGO","NORTE SANTANDER",43.58,208
"PALESTINA","CALDAS",43.58,172
"PENSILVANIA","CALDAS",43.58,236
"SAN JOSE DEL PALMAR","CHOCÓ",43.58,38
"RIONEGRO","SANTANDER",43.57,247
"CURITI","SANTANDER",43.56,176
"TARQUI","HUILA",43.55,202
"AGUACHICA","CESAR",43.54,737
"DOLORES","TOLIMA",43.54,98
"ANAPOIMA","CUNDINAMARCA",43.53,167
"CUMARAL","META",43.53,256
"HELICONIA","ANTIOQUIA",43.52,42
"SAN VICENTE DE CHUCURI","SANTANDER",43.51,448
"ARAUCA","ARAUCA",43.5,837
"RICAURTE","CUNDINAMARCA",43.5,97
"SUTATAUSA","CUNDINAMARCA",43.5,92
"BETULIA","ANTIOQUIA",43.48,174
"GUAYABETAL","CUNDINAMARCA",43.48,62
"LIBANO","TOLIMA",43.48,406
"RESTREPO","VALLE",43.48,194
"SUPATA","CUNDINAMARCA",43.48,85
"LA UNION","ANTIOQUIA",43.47,229
"TIBACUY","CUNDINAMARCA",43.47,43
"UBAQUE","CUNDINAMARCA",43.47,66
"PEQUE","ANTIOQUIA",43.46,85
"GUACA","SANTANDER",43.45,29
"SABOYA","BOYACÁ",43.45,195
"COTA","CUNDINAMARCA",43.43,225
"SAN ANDRES","ANTIOQUIA",43.43,49
"SAN LUIS","TOLIMA",43.43,152
"SUAZA","HUILA",43.43,104
"ALEJANDRIA","ANTIOQUIA",43.42,26
"SASAIMA","CUNDINAMARCA",43.42,177
"SAN AGUSTIN","HUILA",43.41,413
"SALADOBLANCO","HUILA",43.4,131
"TITIRIBI","ANTIOQUIA",43.4,70
"EL PEÑOL","NARIÑO",43.39,111
"LANDAZURI","SANTANDER",43.39,130
"PACHO","CUNDINAMARCA",43.38,420
"LEJANIAS","META",43.36,111
"PUERTO SALGAR","CUNDINAMARCA",43.36,157
"CALARCA","QUINDÍO",43.34,879
"MONTERIA","CÓRDOBA",43.34,3711
"TOCAIMA","CUNDINAMARCA",43.34,148
"BELLO","ANTIOQUIA",43.33,3555
"RIOSUCIO","CALDAS",43.33,738
"MONTENEGRO","QUINDÍO",43.3,484
"AMALFI","ANTIOQUIA",43.29,265
"COPER","BOYACÁ",43.28,39
"SAN LORENZO","NARIÑO",43.28,170
"TOLEDO","NORTE SANTANDER",43.28,234
"PARAMO","SANTANDER",43.27,49
"CHAMEZA","CASANARE",43.25,28
"PUERTO NARE (LA MAGDALENA)","ANTIOQUIA",43.25,157
"VILLA CARO","NORTE SANTANDER",43.25,36
"ARBOLEDA (BERRUECOS)","NARIÑO",43.24,85
"EL ROSAL","CUNDINAMARCA",43.24,201
"PUEBLORRICO","ANTIOQUIA",43.24,71
"BOYACA","BOYACÁ",43.23,52
"EL PLAYON","SANTANDER",43.22,155
"CHIPATA","SANTANDER",43.2,45
"EL DORADO","META",43.2,56
"HERVEO","TOLIMA",43.2,73
"TANGUA","NARIÑO",43.2,103
"PUERTO SANTANDER","NORTE SANTANDER",43.19,54
"SALAZAR","NORTE SANTANDER",43.19,101
"CAICEDONIA","VALLE",43.18,343
"GUADALUPE","ANTIOQUIA",43.15,33
"BELEN DE BAJIRA","CHOCÓ",43.14,22
"MACANAL","BOYACÁ",43.13,54
"CAMPOALEGRE","HUILA",43.12,242
"AMAGA","ANTIOQUIA",43.11,276
"BUGALAGRANDE","VALLE",43.11,259
"JERUSALEN","CUNDINAMARCA",43.1,29
"CANDELARIA","VALLE",43.09,635
"FUNZA","CUNDINAMARCA",43.09,584
"QUIPILE","CUNDINAMARCA",43.09,97
"TAMESIS","ANTIOQUIA",43.09,169
"LA VIRGINIA","RISARALDA",43.08,397
"SAN ANDRES","SAN ANDRÉS",43.08,572
"YARUMAL","ANTIOQUIA",43.08,543
"ARMENIA","ANTIOQUIA",43.07,58
"TAME","ARAUCA",43.07,572
"TENJO","CUNDINAMARCA",43.07,220
"FALAN","TOLIMA",43.06,98
"BECERRIL","CESAR",43.05,231
"CHIVATA","BOYACÁ",43.05,41
"EL CARMEN","SANTANDER",43.05,125
"MONTELIBANO","CÓRDOBA",43.05,708
"SATIVANORTE","BOYACÁ",43.05,42
"CHIQUIZA","BOYACÁ",43.03,66
"SEVILLA","VALLE",43.01,450
"CARMEN DE CARUPA","CUNDINAMARCA",43,93
"TIPACOQUE","BOYACÁ",43,37
"SAN JOSE","CALDAS",42.99,80
"TIMANA","HUILA",42.99,174
"CAREPA","ANTIOQUIA",42.97,336
"GALAPA","ATLÁNTICO",42.97,391
"COROZAL","SUCRE",42.96,770
"GALERAS (NUEVA GRANADA)","SUCRE",42.96,350
"YOLOMBO","ANTIOQUIA",42.96,245
"FOSCA","CUNDINAMARCA",42.95,64
"LA CELIA","RISARALDA",42.95,82
"BETULIA","SANTANDER",42.94,47
"MARSELLA","RISARALDA",42.94,174
"PUEBLO BELLO","CESAR",42.94,107
"VIANI","CUNDINAMARCA",42.94,37
"COROMORO","SANTANDER",42.93,66
"SIMITI","BOLÍVAR",42.92,134
"TIMBIO","CAUCA",42.92,315
"GUATAVITA","CUNDINAMARCA",42.9,57
"SABANAGRANDE","ATLÁNTICO",42.9,344
"TOLU","SUCRE",42.9,256
"TULUA","VALLE",42.9,1979
"SAHAGUN","CÓRDOBA",42.89,1192
"SALGAR","ANTIOQUIA",42.89,103
"VALLEDUPAR","CESAR",42.89,3922
"EBEJICO","ANTIOQUIA",42.88,144
"FUENTE DE ORO","META",42.88,146
"PAIME","CUNDINAMARCA",42.87,52
"SANTIAGO","PUTUMAYO",42.86,59
"ROLDANILLO","VALLE",42.85,410
"MUZO","BOYACÁ",42.84,107
"ROVIRA","TOLIMA",42.84,272
"URRAO","ANTIOQUIA",42.84,317
"LA BELLEZA","SANTANDER",42.83,53
"LA MERCED","CALDAS",42.83,102
"CASABIANCA","TOLIMA",42.82,60
"PUERTO PARRA","SANTANDER",42.82,61
"RICAURTE","NARIÑO",42.81,116
"SANTANDER DE QUILICHAO","CAUCA",42.81,1015
"CAÑASGORDAS","ANTIOQUIA",42.8,218
"MOTAVITA","BOYACÁ",42.8,79
"VILLAVIEJA","HUILA",42.8,76
"NORCASIA","CALDAS",42.79,48
"CACOTA","NORTE SANTANDER",42.78,31
"ITUANGO","ANTIOQUIA",42.78,197
"QUIMBAYA","QUINDÍO",42.78,429
"AGUSTIN CODAZZI","CESAR",42.77,582
"CASTILLA LA NUEVA","META",42.77,191
"CORDOBA","QUINDÍO",42.77,74
"CARMEN DE APICALA","TOLIMA",42.76,114
"DAGUA","VALLE",42.76,346
"JERICO","ANTIOQUIA",42.75,182
"MARIPI","BOYACÁ",42.75,84
"SANTO TOMAS","ATLÁNTICO",42.75,190
"EL LITORAL DEL SAN JUAN","CHOCÓ",42.74,23
"PUERTO RONDON","ARAUCA",42.74,43
"SAN ANTONIO","TOLIMA",42.74,160
"EL DONCELLO","CAQUETÁ",42.73,287
"EL PEÑON","SANTANDER",42.73,45
"PUERTO LOPEZ","META",42.71,338
"ARGELIA","CAUCA",42.7,108
"BARRANCA DE UPIA","META",42.7,70
"SALENTO","QUINDÍO",42.7,80
"YUMBO","VALLE",42.7,992
