"Municipio","Departamento","Matemática","Evaluados"
"ANDALUCIA","VALLE",42.69,184
"LA ESPERANZA","NORTE SANTANDER",42.69,57
"SAN JOSE DEL GUAVIARE","GUAVIARE",42.69,732
"TOCA","BOYACÁ",42.69,151
"AGUAZUL","CASANARE",42.68,713
"EL DOVIO","VALLE",42.68,82
"GUTIERREZ","CUNDINAMARCA",42.68,43
"CURILLO","CAQUETÁ",42.67,72
"SAN JUANITO","META",42.67,18
"PRADERA","VALLE",42.66,518
"SAN FRANCISCO","CUNDINAMARCA",42.66,94
"PALESTINA","HUILA",42.65,94
"CARAMANTA","ANTIOQUIA",42.64,55
"PARATEBUENO","CUNDINAMARCA",42.64,75
"LA TEBAIDA","QUINDÍO",42.63,485
"LA VEGA","CUNDINAMARCA",42.63,226
"PORE","CASANARE",42.62,82
"JERICO","BOYACÁ",42.61,44
"LA DORADA","CALDAS",42.61,668
"MARQUETALIA","CALDAS",42.61,216
"BURITICA","ANTIOQUIA",42.6,63
"TRINIDAD","CASANARE",42.6,145
"UMBITA","BOYACÁ",42.59,121
"ZAPATOCA","SANTANDER",42.59,131
"RISARALDA","CALDAS",42.58,103
"RAGONVALIA","NORTE SANTANDER",42.56,45
"ANZA","ANTIOQUIA",42.55,31
"MANZANARES","CALDAS",42.55,232
"QUINCHIA","RISARALDA",42.55,333
"VALPARAISO","ANTIOQUIA",42.55,65
"BETANIA","ANTIOQUIA",42.54,91
"LA PAZ (ROBLES)","CESAR",42.54,175
"CONFINES","SANTANDER",42.53,40
"ORITO","PUTUMAYO",42.53,471
"EL ZULIA","NORTE SANTANDER",42.52,217
"GUADUAS","CUNDINAMARCA",42.51,252
"SAN LUIS","ANTIOQUIA",42.51,152
"LABRANZAGRANDE","BOYACÁ",42.5,24
"PUERTO LIBERTADOR","CÓRDOBA",42.5,189
"TABIO","CUNDINAMARCA",42.5,265
"ARBOLEDAS","NORTE SANTANDER",42.49,119
"FORTUL","ARAUCA",42.49,225
"GUADALUPE","HUILA",42.49,161
"CHITARAQUE","BOYACÁ",42.48,40
"GIRARDOT","CUNDINAMARCA",42.48,774
"SAN CARLOS DE GUAROA","META",42.46,101
"ARMERO (GUAYABAL)","TOLIMA",42.45,129
"CARTAGENA DEL CHAIRA","CAQUETÁ",42.45,220
"SUESCA","CUNDINAMARCA",42.45,224
"PUERTO COLOMBIA","ATLÁNTICO",42.44,367
"SAN JOAQUIN","SANTANDER",42.43,42
"SAN JUAN DEL CESAR","LA GUAJIRA",42.43,415
"TORO","VALLE",42.43,142
"CAUCASIA","ANTIOQUIA",42.42,1050
"SOPETRAN","ANTIOQUIA",42.41,193
"DABEIBA","ANTIOQUIA",42.4,115
"FRESNO","TOLIMA",42.4,272
"PUERTO GAITAN","META",42.38,223
"SONSON","ANTIOQUIA",42.38,340
"YACOPI","CUNDINAMARCA",42.38,93
"BOLIVAR","VALLE",42.37,167
"MESETAS","META",42.36,78
"CHISCAS","BOYACÁ",42.35,66
"FLORIDA","VALLE",42.34,607
"SAN JACINTO","BOLÍVAR",42.33,364
"LOS SANTOS","SANTANDER",42.31,130
"RIOBLANCO","TOLIMA",42.31,149
"APARTADO","ANTIOQUIA",42.3,1196
"EL CASTILLO","META",42.3,60
"EL CERRITO","VALLE",42.3,549
"QUIPAMA","BOYACÁ",42.3,50
"TEORAMA","NORTE SANTANDER",42.3,83
"CHARTA","SANTANDER",42.28,25
"HOBO","HUILA",42.28,54
"LA UNION","VALLE",42.28,433
"ANSERMA","CALDAS",42.27,433
"CARACOLI","ANTIOQUIA",42.27,44
"ALVARADO","TOLIMA",42.26,84
"BARANOA","ATLÁNTICO",42.26,661
"VILLARRICA","TOLIMA",42.26,68
"CUCAITA","BOYACÁ",42.25,60
"HACARI","NORTE SANTANDER",42.25,24
"TOGUI","BOYACÁ",42.24,45
"AGUADAS","CALDAS",42.23,279
"CANTAGALLO","BOLÍVAR",42.23,85
"CUBARRAL","META",42.23,73
"MONTERREY","CASANARE",42.23,332
"LA PEÑA","CUNDINAMARCA",42.21,75
"CAPARRAPI","CUNDINAMARCA",42.2,102
"SACAMA","CASANARE",42.2,15
"VILLA GUAMEZ (LA HORMIGA)","PUTUMAYO",42.2,485
"VITERBO","CALDAS",42.2,222
"CORDOBA","BOLÍVAR",42.19,164
"ATACO","TOLIMA",42.18,140
"GUAVATA","SANTANDER",42.17,46
"NECHI","ANTIOQUIA",42.17,133
"SANTA BARBARA","SANTANDER",42.17,24
"SANTA CATALINA","BOLÍVAR",42.17,139
"CUBARA","BOYACÁ",42.16,79
"UBALA","CUNDINAMARCA",42.16,100
"GACHANTIVA","BOYACÁ",42.15,48
"SABANALARGA","ANTIOQUIA",42.14,67
"TONA","SANTANDER",42.14,50
"TOTA","BOYACÁ",42.14,69
"CALIFORNIA","SANTANDER",42.13,15
"CUCUNUBA","CUNDINAMARCA",42.13,109
"GUACHETA","CUNDINAMARCA",42.13,149
"VENECIA (OSPINA PEREZ)","CUNDINAMARCA",42.13,64
"CARTAGENA","BOLÍVAR",42.11,8949
"EL COPEY","CESAR",42.11,250
"ESPINAL","TOLIMA",42.11,806
"TUNUNGUA","BOYACÁ",42.11,19
"ARATOCA","SANTANDER",42.09,167
"BELEN DE UMBRIA","RISARALDA",42.09,329
"ALBAN","CUNDINAMARCA",42.08,89
"BELALCAZAR","CALDAS",42.08,110
"CERETE","CÓRDOBA",42.08,1058
"SAN SEBASTIAN","CAUCA",42.08,105
"SAMPUES","SUCRE",42.05,517
"TENA","CUNDINAMARCA",42.05,85
"CHIRIGUANA","CESAR",42.04,228
"FRONTINO","ANTIOQUIA",42.04,225
"POLICARPA","NARIÑO",42.03,98
"ANZOATEGUI","TOLIMA",42.02,78
"LA MACARENA","META",42.02,99
"BELMIRA","ANTIOQUIA",42.01,78
"PAUNA","BOYACÁ",42.01,107
"PUERTO BOYACA","BOYACÁ",42.01,589
"PRADO","TOLIMA",42,122
"ZETAQUIRA","BOYACÁ",42,73
"COELLO","TOLIMA",41.99,95
"FONSECA","LA GUAJIRA",41.98,470
"VALDIVIA","ANTIOQUIA",41.96,81
"SATIVASUR","BOYACÁ",41.95,19
"ALBANIA","SANTANDER",41.94,50
"CHAGUANI","CUNDINAMARCA",41.94,32
"TELLO","HUILA",41.94,163
"MANI","CASANARE",41.91,133
"BOSCONIA","CESAR",41.9,446
"URUMITA","LA GUAJIRA",41.89,96
"VIRACACHA","BOYACÁ",41.89,27
"ARANZAZU","CALDAS",41.88,171
"ZIPACON","CUNDINAMARCA",41.88,71
"ALCALA","VALLE",41.87,136
"NARIÑO","ANTIOQUIA",41.87,44
"QUEBRADANEGRA","CUNDINAMARCA",41.87,48
"CANDELARIA","ATLÁNTICO",41.86,104
"PUERTO  LEGUIZAMO","PUTUMAYO",41.86,214
"ACEVEDO","HUILA",41.85,151
"FLORIAN","SANTANDER",41.85,68
"PIENDAMO","CAUCA",41.85,409
"SAN BENITO","SANTANDER",41.85,41
"LA VEGA","CAUCA",41.84,172
"MONTEBELLO","ANTIOQUIA",41.84,48
"RIOHACHA","LA GUAJIRA",41.84,1640
"VERSALLES","VALLE",41.84,74
"GUICAN","BOYACÁ",41.83,53
"SAN JUAN DE ARAMA","META",41.83,104
"SUAREZ","TOLIMA",41.83,41
"PUERTO LLERAS","META",41.82,88
"VIOTA","CUNDINAMARCA",41.82,219
"PITAL","HUILA",41.8,112
"OROCUE","CASANARE",41.79,104
"PESCA","BOYACÁ",41.79,77
"PROVIDENCIA","NARIÑO",41.79,58
"CAMPAMENTO","ANTIOQUIA",41.78,36
"CONCEPCION","ANTIOQUIA",41.78,23
"CURUMANI","CESAR",41.76,314
"FREDONIA","ANTIOQUIA",41.76,282
"TURBANA","BOLÍVAR",41.76,153
"VALPARAISO","CAQUETÁ",41.76,58
"ZARZAL","VALLE",41.76,471
"BRICEÑO","ANTIOQUIA",41.75,60
"SANTA ROSALIA","VICHADA",41.75,24
"SANTO DOMINGO","ANTIOQUIA",41.75,197
"LA PALMA","CUNDINAMARCA",41.74,149
"SANTA MARTA","MAGDALENA",41.73,4537
"JAMUNDI","VALLE",41.72,914
"OBANDO","VALLE",41.72,116
"RECETOR","CASANARE",41.72,25
"SANTA BARBARA DE PINTO","MAGDALENA",41.72,35
"MORELIA","CAQUETÁ",41.7,36
"VALLE DE SAN JUAN","TOLIMA",41.7,79
"SANTA ROSA","CAUCA",41.69,52
"VIJES","VALLE",41.69,108
"EL PAUJIL","CAQUETÁ",41.67,140
"LA UNION","SUCRE",41.67,156
"SUAN","ATLÁNTICO",41.67,99
"ALBANIA","CAQUETÁ",41.65,48
"EL PEÑON","CUNDINAMARCA",41.65,43
"MORALES","CAUCA",41.64,244
"TIERRALTA","CÓRDOBA",41.64,803
"INZA","CAUCA",41.62,267
"BOLIVAR","CAUCA",41.61,348
"GUATICA","RISARALDA",41.6,182
"SAN CARLOS","ANTIOQUIA",41.6,161
"SAN CRISTOBAL","BOLÍVAR",41.6,73
"MATANZA","SANTANDER",41.59,62
"ANGELOPOLIS","ANTIOQUIA",41.57,56
"CHALAN","SUCRE",41.57,21
"NATAGA","HUILA",41.57,98
"PLANETA RICA","CÓRDOBA",41.57,825
"SUPIA","CALDAS",41.57,463
"EL AGUILA","VALLE",41.56,110
"OTANCHE","BOYACÁ",41.56,93
"MOÑITOS","CÓRDOBA",41.54,281
"ARBOLETES","ANTIOQUIA",41.52,342
"LA TOLA","NARIÑO",41.52,56
"YOTOCO","VALLE",41.49,132
"CIENAGA DE ORO","CÓRDOBA",41.48,612
"CISNEROS","ANTIOQUIA",41.48,138
"CUASPUD (CARLOSAMA)","NARIÑO",41.48,60
"MALAMBO","ATLÁNTICO",41.48,678
"HATO COROZAL","CASANARE",41.47,161
"BUENAVISTA","QUINDÍO",41.46,56
"GALAN","SANTANDER",41.45,56
"PUERTO CARREÑO","VICHADA",41.45,225
"ROSAS","CAUCA",41.45,128
"GUAYABAL DE SIQUIMA","CUNDINAMARCA",41.44,82
"SAN MARCOS","SUCRE",41.44,713
"MANTA","CUNDINAMARCA",41.43,78
"CAJIBIO","CAUCA",41.42,196
"FUNDACION","MAGDALENA",41.41,755
"LEIVA","NARIÑO",41.41,88
"MAGANGUE","BOLÍVAR",41.41,1165
"MAICAO","LA GUAJIRA",41.41,1826
"PANDI","CUNDINAMARCA",41.39,31
"SAN PEDRO DE URABA","ANTIOQUIA",41.39,347
"VISTA HERMOSA","META",41.39,126
"LETICIA","AMAZONAS",41.38,579
"PLANADAS","TOLIMA",41.38,189
"SAN PABLO DE BORBUR","BOYACÁ",41.38,37
"SOMONDOCO","BOYACÁ",41.37,49
"ANORI","ANTIOQUIA",41.36,107
"SEGOVIA","ANTIOQUIA",41.36,301
"MISTRATO","RISARALDA",41.35,110
"MUTATA","ANTIOQUIA",41.35,157
"CACERES","ANTIOQUIA",41.34,188
"GUARANDA","SUCRE",41.34,110
"LA VICTORIA","VALLE",41.34,179
"APIA","RISARALDA",41.33,333
"ARGELIA","ANTIOQUIA",41.33,106
"TOLUVIEJO","SUCRE",41.33,275
"LOS PALMITOS","SUCRE",41.32,276
"ALMEIDA","BOYACÁ",41.31,26
"ANGOSTURA","ANTIOQUIA",41.3,113
"SAN RAFAEL","ANTIOQUIA",41.29,175
"SAN VICENTE DEL CAGUAN","CAQUETÁ",41.29,361
"SILVANIA","CUNDINAMARCA",41.29,267
"MALLAMA (PIEDRANCHA)","NARIÑO",41.28,77
"CHITA","BOYACÁ",41.27,119
"CHIVOR","BOYACÁ",41.27,26
"PATIA(EL BORDO)","CAUCA",41.27,304
"SAN JUAN NEPOMUCENO","BOLÍVAR",41.27,500
"SAN ONOFRE","SUCRE",41.27,503
"BELTRAN","CUNDINAMARCA",41.26,46
"CIMITARRA","SANTANDER",41.26,406
"GAMARRA","CESAR",41.26,127
"LA SIERRA","CAUCA",41.26,115
"VALENCIA","CÓRDOBA",41.25,432
"LA JAGUA DE IBIRICO","CESAR",41.24,342
"VENECIA","ANTIOQUIA",41.23,123
"BARRANCAS","LA GUAJIRA",41.22,321
"BUCARASICA","NORTE SANTANDER",41.21,43
"EL CAIRO","VALLE",41.21,72
"GIRALDO","ANTIOQUIA",41.2,62
"PUEBLO NUEVO","CÓRDOBA",41.2,274
"SAN JUAN DE URABA","ANTIOQUIA",41.2,228
"PACORA","CALDAS",41.19,166
"BELEN DE LOS ANDAQUIES","CAQUETÁ",41.18,126
"PROVIDENCIA","SAN ANDRÉS",41.18,49
"CICUCO","BOLÍVAR",41.17,107
"SAN PABLO","BOLÍVAR",41.17,298
"BALBOA","CAUCA",41.16,159
"EL TARRA","NORTE SANTANDER",41.16,62
"YONDO (CASABE)","ANTIOQUIA",41.16,117
"ONZAGA","SANTANDER",41.15,83
"URAMITA","ANTIOQUIA",41.15,62
"CORINTO","CAUCA",41.12,329
"SUCRE","CAUCA",41.12,42
"LERIDA","TOLIMA",41.11,231
"MAPIRIPAN","META",41.11,38
"GUACARI","VALLE",41.1,396
"SUCRE","SUCRE",41.1,193
"EL CARMEN","NORTE SANTANDER",41.09,69
"CONTADERO","NARIÑO",41.08,37
"SAN JUAN DE BETULIA","SUCRE",41.08,192
"CHIGORODO","ANTIOQUIA",41.07,817
"LA PRIMAVERA","VICHADA",41.07,84
"MACEO","ANTIOQUIA",41.06,103
"SAN JACINTO DEL CAUCA","BOLÍVAR",41.06,95
"PURIFICACION","TOLIMA",41.05,316
"SAN PEDRO","VALLE",41.04,170
"ALMAGUER","CAUCA",41.03,157
"CHINU","CÓRDOBA",41.03,377
"CUNDAY","TOLIMA",41.03,118
"PUERTO RICO","CAQUETÁ",41.03,218
"EL TAMBO","CAUCA",41.02,328
"LA MONTAÑITA","CAQUETÁ",41.01,101
"SAN CAYETANO","CUNDINAMARCA",41.01,78
"SITIONUEVO","MAGDALENA",41.01,113
"HATO","SANTANDER",41,26
"ARJONA","BOLÍVAR",40.99,651
"ORTEGA","TOLIMA",40.99,369
"REMEDIOS","ANTIOQUIA",40.98,235
"CONDOTO","CHOCÓ",40.96,241
"LA PLAYA","NORTE SANTANDER",40.96,57
"SAN MIGUEL","PUTUMAYO",40.96,249
"BALBOA","RISARALDA",40.93,85
"LIBORINA","ANTIOQUIA",40.93,116
"MOMIL","CÓRDOBA",40.89,259
"MAGUI (PAYAN)","NARIÑO",40.88,56
"NARIÑO","CUNDINAMARCA",40.88,26
"SAN DIEGO","CESAR",40.88,200
"EL CHARCO","NARIÑO",40.87,159
"VEGACHI","ANTIOQUIA",40.87,157
"SAMANA","CALDAS",40.86,246
"PIAMONTE","CAUCA",40.84,32
"SALDAÑA","TOLIMA",40.84,176
"SAN CAYETANO","NORTE SANTANDER",40.84,50
"SAN BENITO ABAD","SUCRE",40.83,317
"CHIMA","CÓRDOBA",40.82,189
"PUERTO CONCORDIA","META",40.81,63
"PUERTO GUZMAN","PUTUMAYO",40.81,97
"BUENAVENTURA","VALLE",40.8,2649
"TOPAIPI","CUNDINAMARCA",40.8,66
"NIMAIMA","CUNDINAMARCA",40.78,37
"VILLANUEVA","BOLÍVAR",40.78,242
"QUIBDO","CHOCÓ",40.77,1550
"RAFAEL REYES (APULO)","CUNDINAMARCA",40.77,102
"CUMARIBO","VICHADA",40.76,106
"EL ROBLE","SUCRE",40.76,63
"MARMATO","CALDAS",40.76,86
"MOMPOS","BOLÍVAR",40.76,596
"PURISIMA","CÓRDOBA",40.76,232
"RIOFRIO","VALLE",40.75,156
"VILLANUEVA","LA GUAJIRA",40.75,230
"LA APARTADA (LA FRONTERA)","CÓRDOBA",40.74,133
"PUERTO BERRIO","ANTIOQUIA",40.74,505
"MEDIO BAUDO","CHOCÓ",40.73,22
"PUERTO CAICEDO","PUTUMAYO",40.73,160
"PURACE (COCONUCO)","CAUCA",40.73,103
"PUERTO ESCONDIDO","CÓRDOBA",40.72,254
"SUAREZ","CAUCA",40.72,189
"TARAZA","ANTIOQUIA",40.72,341
"URIBIA","LA GUAJIRA",40.72,283
"ABRIAQUI","ANTIOQUIA",40.71,24
"JUAN DE ACOSTA","ATLÁNTICO",40.7,212
"TURBO","ANTIOQUIA",40.7,1425
"CHIVOLO","MAGDALENA",40.69,191
"GENOVA","QUINDÍO",40.69,103
"TRUJILLO","VALLE",40.69,191
"SAN MARTIN DE LOBA","BOLÍVAR",40.68,266
"ALTOS DEL ROSARIO","BOLÍVAR",40.66,74
"NECOCLI","ANTIOQUIA",40.66,569
"BARBACOAS","NARIÑO",40.65,231
"EL CARMEN DE BOLIVAR","BOLÍVAR",40.65,799
"PTO SANTANDER","AMAZONAS",40.64,11
"UTICA","CUNDINAMARCA",40.63,60
"CALOTO","CAUCA",40.61,514
"PAILITAS","CESAR",40.61,191
"ARIGUANI (EL DIFICIL)","MAGDALENA",40.6,342
"EL BAGRE","ANTIOQUIA",40.6,502
"NATAGAIMA","TOLIMA",40.6,195
"LA GLORIA","CESAR",40.59,108
"TARSO","ANTIOQUIA",40.59,89
"LA PINTADA","ANTIOQUIA",40.58,104
"SALAMINA","MAGDALENA",40.57,104
"LORICA","CÓRDOBA",40.56,1430
"SAN JOSE DEL FRAGUA","CAQUETÁ",40.56,194
"BARAYA","HUILA",40.55,69
"SAN JERONIMO","ANTIOQUIA",40.55,215
"CALAMAR","BOLÍVAR",40.54,237
"PALMITO","SUCRE",40.53,122
"ASTREA","CESAR",40.52,211
"PUERTO WILCHES","SANTANDER",40.52,327
"SAN CARLOS","CÓRDOBA",40.52,220
"SANTA MARIA","HUILA",40.52,111
"CALDONO","CAUCA",40.5,273
"ITSMINA","CHOCÓ",40.5,500
"ZAPAYAN","MAGDALENA",40.5,76
"CARURU","VAUPÉS",40.48,25
"NUQUI","CHOCÓ",40.48,40
"SAN SEBASTIAN DE BUENAVISTA","MAGDALENA",40.48,246
"LA JAGUA DEL PILAR","LA GUAJIRA",40.47,19
"HATONUEVO","LA GUAJIRA",40.46,161
"TALAIGUA NUEVO","BOLÍVAR",40.46,222
"FLANDES","TOLIMA",40.45,242
"GACHALA","CUNDINAMARCA",40.45,63
"ZAMBRANO","BOLÍVAR",40.45,159
"SAN PELAYO","CÓRDOBA",40.43,558
"SANTAFÉ DE ANTIOQUIA","ANTIOQUIA",40.43,392
"CIENAGA","MAGDALENA",40.42,1073
"SAN PEDRO DE CARTAGO","NARIÑO",40.42,54
"ANSERMANUEVO","VALLE",40.41,206
"MORALES","BOLÍVAR",40.41,210
"EL BANCO","MAGDALENA",40.4,605
"PUERTO TEJADA","CAUCA",40.39,369
"CARMEN DEL DARIEN","CHOCÓ",40.38,29
"CHIMICHAGUA","CESAR",40.38,452
"UNGUIA","CHOCÓ",40.38,76
"VICTORIA","CALDAS",40.38,131
"TIQUISIO (PUERTO RICO)","BOLÍVAR",40.37,170
"MIRAFLORES","GUAVIARE",40.36,28
"POLONUEVO","ATLÁNTICO",40.35,120
"CAMPO DE LA CRUZ","ATLÁNTICO",40.34,249
"TARAIRA","VAUPÉS",40.33,18
"ZARAGOZA","ANTIOQUIA",40.33,238
"OVEJAS","SUCRE",40.32,337
"ALBANIA","LA GUAJIRA",40.29,166
"SAN ZENON","MAGDALENA",40.29,112
"EL PASO","CESAR",40.28,391
"PELAYA","CESAR",40.28,213
"CLEMENCIA","BOLÍVAR",40.27,26
"FLORENCIA","CAUCA",40.27,78
"PIJAO","QUINDÍO",40.27,172
"SANTA ROSA","BOLÍVAR",40.27,207
"SANTA ANA","MAGDALENA",40.26,319
"ACHI","BOLÍVAR",40.25,339
"ALGARROBO","MAGDALENA",40.25,138
"LLORO","CHOCÓ",40.24,46
"MANAURE","LA GUAJIRA",40.23,123
"SAN ROQUE","ANTIOQUIA",40.22,253
"TUBARA","ATLÁNTICO",40.22,86
"BOJAYA (BELLAVISTA)","CHOCÓ",40.2,5
"PIOJO","ATLÁNTICO",40.2,59
"SABANALARGA","ATLÁNTICO",40.2,840
"SAN FERNANDO","BOLÍVAR",40.19,123
"EL RETORNO","GUAVIARE",40.18,130
"ALTO BAUDO (PIE DE PATO)","CHOCÓ",40.17,35
"EL ROSARIO","NARIÑO",40.17,42
"USIACURI","ATLÁNTICO",40.16,67
"CABRERA","CUNDINAMARCA",40.15,83
"CAICEDO","ANTIOQUIA",40.14,84
"GUAMO","TOLIMA",40.14,427
"SABANAS DE SAN ANGEL","MAGDALENA",40.13,91
"SANTANA","BOYACÁ",40.13,100
"CANALETE","CÓRDOBA",40.11,200
"MURINDO","ANTIOQUIA",40.11,9
"TUMACO","NARIÑO",40.11,2056
"AYAPEL","CÓRDOBA",40.1,374
"SOTARA (PAISPAMBA)","CAUCA",40.1,83
"SAN CALIXTO","NORTE SANTANDER",40.09,32
"ARACATACA","MAGDALENA",40.06,466
"GUAMAL","MAGDALENA",40.06,403
"MARGARITA","BOLÍVAR",40.06,146
"TAMALAMEQUE","CESAR",40.06,189
"ZONA BANANERA","MAGDALENA",40.03,663
"MITU","VAUPÉS",40.02,261
"PIJIÑO DEL CARMEN","MAGDALENA",40.02,118
"RONCESVALLES","TOLIMA",40.02,64
"DIBULLA","LA GUAJIRA",40,177
"MOSQUERA","NARIÑO",39.97,58
"SAN ANTERO","CÓRDOBA",39.95,316
"YALI","ANTIOQUIA",39.94,85
"CANTON DEL SAN PABLO","CHOCÓ",39.92,51
"CEPITA","SANTANDER",39.92,24
"SILVIA","CAUCA",39.92,358
"MANATI","ATLÁNTICO",39.89,195
"EL PIÑON","MAGDALENA",39.88,212
"AMBALEMA","TOLIMA",39.87,59
"FILADELFIA","CALDAS",39.85,133
"LURUACO","ATLÁNTICO",39.85,280
"PONEDERA","ATLÁNTICO",39.85,198
"MILAN","CAQUETÁ",39.84,62
"NOVITA","CHOCÓ",39.83,42
"PUEBLOVIEJO","MAGDALENA",39.83,251
"EL PEÑON","BOLÍVAR",39.81,85
"LA VICTORIA","BOYACÁ",39.8,15
"SOLITA","CAQUETÁ",39.8,75
"NUEVA GRANADA","MAGDALENA",39.79,89
"EL GUAMO","BOLÍVAR",39.78,69
"PULI","CUNDINAMARCA",39.76,25
"RIO QUITO","CHOCÓ",39.75,77
"ACANDI","CHOCÓ",39.74,57
"VIGIA DEL FUERTE","ANTIOQUIA",39.74,65
"VILLA RICA","CAUCA",39.74,178
"SIPI","CHOCÓ",39.73,15
"BUENAVISTA","CÓRDOBA",39.71,200
"PUERTO NARIÑO","AMAZONAS",39.7,76
"MAHATES","BOLÍVAR",39.64,359
"CAIMITO","SUCRE",39.63,123
"COYAIMA","TOLIMA",39.63,305
"PLATO","MAGDALENA",39.62,603
"MARIA LA BAJA","BOLÍVAR",39.61,554
"SOPLAVIENTO","BOLÍVAR",39.6,91
"OLAYA","ANTIOQUIA",39.59,44
"BARRANCO DE LOBA","BOLÍVAR",39.58,155
"EL RETEN","MAGDALENA",39.58,245
"TENERIFE","MAGDALENA",39.56,124
"MAJAGUAL","SUCRE",39.55,464
"RIO VIEJO","BOLÍVAR",39.52,91
"OLAYA HERRERA","NARIÑO",39.51,100
"REMOLINO","MAGDALENA",39.51,95
"BAGADO","CHOCÓ",39.5,75
"PADILLA","CAUCA",39.5,96
"SAN ESTANISLAO","BOLÍVAR",39.5,187
"ARGELIA","VALLE",39.49,63
"SAN ANDRES SOTAVENTO","CÓRDOBA",39.49,752
"GUAPI","CAUCA",39.48,311
"COVEÑAS","SUCRE",39.45,275
"BAHIA SOLANO (MUTIS)","CHOCÓ",39.43,104
"SANTA BARBARA (ISCUANDE)","NARIÑO",39.42,24
"PUEBLO RICO","RISARALDA",39.41,141
"DISTRACCION","LA GUAJIRA",39.39,91
"GUACAMAYAS","BOYACÁ",39.39,31
"TADO","CHOCÓ",39.38,280
"TOTORO","CAUCA",39.38,144
"CABUYARO","META",39.37,54
"TARAPACA","AMAZONAS",39.35,20
"ARROYOHONDO","BOLÍVAR",39.33,70
"CONCORDIA","MAGDALENA",39.27,151
"PAEZ (BELALCAZAR)","CAUCA",39.27,332
"ARENAL","BOLÍVAR",39.22,96
"COTORRA","CÓRDOBA",39.22,171
"PINILLOS","BOLÍVAR",39.18,248
"HATILLO DE LOBA","BOLÍVAR",39.17,158
"TORIBIO","CAUCA",39.07,243
"JAMBALO","CAUCA",39.04,165
"LOS CORDOBAS","CÓRDOBA",39.03,174
"BUENOS AIRES","CAUCA",39.02,224
"FRANCISCO PIZARRO","NARIÑO",39.01,85
"LOPEZ (MICAY)","CAUCA",38.99,111
"TOLEDO","ANTIOQUIA",38.91,32
"TIMBIQUI","CAUCA",38.87,162
"GUATAQUI","CUNDINAMARCA",38.84,44
"MONTECRISTO","BOLÍVAR",38.84,43
"MAPIRIPANA","GUAINÍA",38.79,19
"PEDRAZA","MAGDALENA",38.77,111
"RIOSUCIO","CHOCÓ",38.69,122
"SANTA LUCIA","ATLÁNTICO",38.68,129
"LA CHORRERA","AMAZONAS",38.56,18
"LA PEDRERA","AMAZONAS",38.47,30
"REGIDOR","BOLÍVAR",38.46,46
"BAJO BAUDO   (PIZARRO)","CHOCÓ",38.43,44
"CUMBITARA","NARIÑO",38.41,98
"CERRO SAN ANTONIO","MAGDALENA",38.37,60
"EL MOLINO","LA GUAJIRA",38.33,42
"GUACHENÉ","CAUCA",38.27,11
"ROBERTO PAYAN (SAN JOSE)","NARIÑO",38.25,56
"REPELON","ATLÁNTICO",38.08,231
"COLOSO (RICAURTE)","SUCRE",37.92,100
"SOLANO","CAQUETÁ",37.85,42
"RIO IRO","CHOCÓ",37.72,42
"MEDIO ATRATO","CHOCÓ",37.67,3
"MEDIO SAN JUAN","CHOCÓ",37.52,31
"ATRATO (YUTO)","CHOCÓ",37.5,70
"CERTEGUI","CHOCÓ",37.28,47
"YAVARATE","VAUPÉS",37,4
"MARULANDA","CALDAS",36.61,28
"UNION PANAMERICANA","CHOCÓ",36.4,15
"JURADO","CHOCÓ",35.06,18
